,mc
Aga1,73.8594328
Aga2,73.8594328
Aga3,73.11960543
Aga4,72.74969174
Aga5,71.63995068
Aga6,71.39334155
Aga7,70.65351418
Aga8,70.03699137
Aga9,69.05055487
Aga10,68.68064118
Aga11,67.94081381
Aga12,67.44759556
Aga13,66.58446363
Aga14,65.72133169
Aga15,64.98150432
Aga16,64.48828607
Aga17,63.62515413
Aga18,62.76202219
Aga19,61.89889026
Aga20,61.15906289
Aga21,59.92601726
Aga22,58.56966708
Aga23,57.95314427
Aga24,57.70653514
Aga25,56.84340321
Aga26,55.98027127
Aga27,55.48705302
Aga28,54.2540074
Aga29,52.40443896
Aga30,51.41800247
Aga31,50.67817509
Aga32,49.44512947
Aga33,48.7053021
Aga34,47.10234279
Aga35,46.11590629
Aga36,45.00616523
Aga37,43.77311961
Aga38,42.04685573
Aga39,40.44389642
Aga40,40.32059186
Aga41,39.58076449
Aga42,38.96424168
Aga43,37.73119605
Aga44,36.74475956
Aga45,34.77188656
Aga46,33.78545006
Aga47,33.04562269
Aga48,31.19605425
Aga49,24.29099877
Aga50,20.96177559
Aga51,15.0431566
Aga52,5.055487053
Aga53,0
Kiri1,81.96721311
Kiri2,81.35245902
Kiri3,80.12295082
Kiri4,79.50819672
Kiri5,78.27868852
Kiri6,77.25409836
Kiri7,76.43442623
Kiri8,75.40983607
Kiri9,73.7704918
Kiri10,72.74590164
Kiri11,71.72131148
Kiri12,70.69672131
Kiri13,69.46721311
Kiri14,68.44262295
Kiri15,67.62295082
Kiri16,65.98360656
Kiri17,64.95901639
Kiri18,63.93442623
Kiri19,62.09016393
Kiri20,61.2704918
Kiri21,59.63114754
Kiri22,57.99180328
Kiri23,57.17213115
Kiri24,55.73770492
Kiri25,54.71311475
Kiri26,53.89344262
Kiri27,52.45901639
Kiri28,50.40983607
Kiri29,47.95081967
Kiri30,46.72131148
Kiri31,45.69672131
Kiri32,44.46721311
Kiri33,43.44262295
Kiri34,41.59836066
Kiri35,40.36885246
Kiri36,38.52459016
Kiri37,37.5
Kiri38,35.86065574
Kiri39,34.01639344
Kiri40,34.01639344
Kiri41,32.99180328
Kiri42,31.76229508
Kiri43,30.73770492
Kiri44,29.30327869
Kiri45,27.66393443
Kiri46,26.63934426
Kiri47,26.2295082
Kiri48,24.3852459
Kiri49,19.05737705
Kiri50,15.36885246
Kiri51,11.2704918
Kiri52,5.12295082
Kiri53,0
